account_id,channel,source,platform,campaign_name,group_name,keyword,creative,imagePath,device,date,impressions,clicks,cost,conversions,rank
2452983,search ad,naver,파워링크,PC,02.차종,GV80COUPEBLACK,,,PC,2026-05-20,6,0,0,0,5.5
2452983,search ad,naver,파워링크,PC,02.차종,K5,,,PC,2026-05-14,260,0,0,0,2.1
2452983,search ad,naver,파워링크,PC,02.차종,K5,,,PC,2026-05-15,641,0,0,0,2
2452983,search ad,naver,파워링크,PC,02.차종,K5,,,PC,2026-05-16,541,0,0,0,1.6
2452983,search ad,naver,파워링크,PC,02.차종,K5,,,PC,2026-05-18,1011,0,0,0,1.9
2452983,search ad,naver,파워링크,PC,02.차종,K5,,,PC,2026-05-19,1062,0,0,0,2.1
2452983,search ad,naver,파워링크,PC,02.차종,K5,,,PC,2026-05-20,976,0,0,0,2.6
2452983,search ad,naver,파워링크,PC,02.차종,K9,,,PC,2026-05-14,139,0,0,0,2.1
2452983,search ad,naver,파워링크,PC,02.차종,K9,,,PC,2026-05-15,267,0,0,0,2.6
2452983,search ad,naver,파워링크,PC,02.차종,K9,,,PC,2026-05-16,226,0,0,0,1.6
2452983,search ad,naver,파워링크,PC,02.차종,K9,,,PC,2026-05-18,420,0,0,0,1.9
2452983,search ad,naver,파워링크,PC,02.차종,K9,,,PC,2026-05-19,356,0,0,0,1.9
2452983,search ad,naver,파워링크,PC,02.차종,K9,,,PC,2026-05-20,453,0,0,0,1.9
2452983,search ad,naver,파워링크,PC,02.차종,QM6,,,PC,2026-05-14,104,0,0,0,2
2452983,search ad,naver,파워링크,PC,02.차종,QM6,,,PC,2026-05-15,233,0,0,0,2.6
2452983,search ad,naver,파워링크,PC,02.차종,QM6,,,PC,2026-05-16,149,0,0,0,1.5
2452983,search ad,naver,파워링크,PC,02.차종,QM6,,,PC,2026-05-18,418,0,0,0,1.9
2452983,search ad,naver,파워링크,PC,02.차종,QM6,,,PC,2026-05-19,370,0,0,0,1.9
2452983,search ad,naver,파워링크,PC,02.차종,QM6,,,PC,2026-05-20,399,1,2242,0,1.9
2452983,search ad,naver,파워링크,PC,02.차종,SM6,,,PC,2026-05-14,50,0,0,0,3.4
2452983,search ad,naver,파워링크,PC,02.차종,SM6,,,PC,2026-05-15,120,1,1925,0,3.7
2452983,search ad,naver,파워링크,PC,02.차종,SM6,,,PC,2026-05-16,89,0,0,0,2.6
2452983,search ad,naver,파워링크,PC,02.차종,SM6,,,PC,2026-05-18,217,0,0,0,2.6
2452983,search ad,naver,파워링크,PC,02.차종,SM6,,,PC,2026-05-19,171,0,0,0,2.9
2452983,search ad,naver,파워링크,PC,02.차종,SM6,,,PC,2026-05-20,194,0,0,0,2.6
2452983,search ad,naver,파워링크,PC,02.차종,그랑콜레오스,,,PC,2026-05-14,255,0,0,0,2.9
2452983,search ad,naver,파워링크,PC,02.차종,그랑콜레오스,,,PC,2026-05-15,501,1,11206,0,3
